protein	D1	D2
497|1	-26.375814	18.927095
152|1	-18.270600	83.805715
332|1	30.880027	15.394444
20|1	10.025213	56.915713
389|1	15.658505	-8.394576
318|1	-45.411974	-38.151834
258|1	-13.225840	-52.352869
311|1	39.558454	55.318942
161|1	-25.459726	80.294917
565|1	16.643253	11.786764
406|1	7.917865	55.852227
460|1	2.238463	-42.831152
728|1	-52.167358	-24.977392
64|1	-16.559816	78.689228
357|1	48.464679	-3.541126
101|1	35.845454	50.192239
131|1	-20.398996	80.046196
186|1	42.263158	9.896451
320|1	44.173094	-5.068678
588|1	-21.824325	87.225151
725|1	-10.447528	-52.685662
679|1	30.115012	15.971189
323|1	35.581341	56.939855
580|1	-24.740215	86.855440
454|1	33.107940	21.662583
340|1	0.965544	31.548576
289|1	-10.909646	-53.606915
73|1	-36.549482	60.044662
268|1	-28.574636	-60.097159
401|1	-21.734769	88.979843
645|1	-54.471082	-25.675955
374|1	-5.166003	-53.391956
441|1	15.345908	-8.212017
204|1	40.959282	-31.018770
235|1	-23.783817	86.573873
227|1	34.877748	55.002427
526|1	-18.844996	81.128766
364|1	-8.903784	-64.453741
471|1	39.056316	49.616949
709|1	51.058669	22.745818
181|1	-5.487273	68.555647
234|1	28.347201	2.195581
274|1	34.989710	44.984790
405|1	-12.011883	-53.019538
462|1	-47.598736	-28.279743
451|1	-37.589406	-19.303715
631|1	-13.082762	-70.587708
697|1	-30.773493	88.781978
383|1	-15.451865	-72.510343
678|1	14.379859	47.902739
483|1	-15.032672	-71.330060
285|1	13.797460	15.314308
341|1	47.619620	43.299124
178|1	19.175005	28.452691
336|1	-0.911539	54.927401
6|1	10.170174	-31.258679
600|1	-23.498567	89.587009
699|1	-22.122788	84.280737
701|1	-45.231646	2.027770
411|1	-26.956084	-31.610023
208|1	-41.175751	-44.370666
695|1	12.781384	19.336203
684|1	-22.046185	79.052248
571|1	-28.646792	87.678924
240|1	-18.878163	76.145413
209|1	-21.826932	77.962012
527|1	14.358823	48.789169
11|1	-28.809374	88.011017
472|1	-52.847866	-27.952246
127|1	43.497556	43.812064
589|1	-34.914504	87.241496
168|1	12.508439	47.642789
236|1	-26.168752	84.243539
567|1	12.720786	0.594626
447|1	16.556410	12.079132
685|1	-14.002687	-68.381500
361|1	29.127838	-23.497033
8|1	-4.252165	42.186601
310|1	32.182418	13.990390
51|1	1.978634	-67.996658
165|1	15.955491	13.808694
232|1	-18.961247	-67.639234
275|1	-15.099919	20.188198
548|1	-25.711660	81.779803
657|1	32.931620	46.091528
304|1	28.638831	51.992713
644|1	-28.208906	-59.627599
136|1	-22.626865	73.742853
660|1	48.982867	-3.061009
387|1	20.431808	21.862674
324|1	37.860453	32.449796
300|1	-1.149344	33.294471
384|1	28.930270	9.432648
69|1	3.647172	-69.623874
241|1	39.364356	8.174724
439|1	2.154643	-70.474678
119|1	-24.913620	81.429636
553|1	-0.398117	70.266217
573|1	-17.126607	-61.489966
667|1	-34.548628	60.818395
149|1	43.402023	21.322494
515|1	27.158952	31.543996
173|1	2.391797	-26.175687
27|1	12.013937	1.863578
102|1	2.941472	56.947146
382|1	-36.144769	58.496220
125|1	31.315301	21.941395
540|1	20.063656	43.494472
82|1	27.229800	-1.487857
327|1	-10.364050	26.267032
98|1	39.169476	0.190267
702|1	-24.488383	-50.145199
522|1	-21.717462	74.865721
682|1	-18.746471	-6.197100
723|1	3.050280	28.223613
602|1	-20.305600	83.831292
627|1	23.849223	28.005181
632|1	-7.681487	-44.864300
649|1	-0.235119	36.788653
14|1	-9.107563	27.998449
512|1	28.657355	32.444990
732|1	-26.464005	75.203055
116|1	-39.176581	19.918088
592|1	-23.764423	87.565149
501|1	-37.385088	-18.377026
180|1	42.018473	8.662984
3|1	-11.631947	-65.775164
442|1	16.595529	29.117757
523|1	-34.187952	62.022746
360|1	-24.379535	80.505580
640|1	50.563783	17.259842
716|1	-51.886989	-27.141507
266|1	27.729930	-18.480015
656|1	-3.170501	-5.881617
373|1	-25.647859	-60.063698
25|1	-44.836778	-38.859269
140|1	48.177079	-1.137431
74|1	12.469033	48.643462
108|1	-32.927786	-14.661526
453|1	1.033906	-69.748556
56|1	8.837421	18.507613
194|1	36.642027	46.475809
239|1	39.764862	56.590666
282|1	-26.712944	-31.514046
520|1	9.096179	56.739373
459|1	-32.178531	4.701098
391|1	0.950273	-66.604090
461|1	19.684317	25.272361
126|1	-9.511292	25.301011
555|1	0.928180	-70.690868
506|1	-1.310396	55.932634
345|1	-12.034117	-51.994141
686|1	31.489488	38.041919
663|1	-20.198687	8.644048
